# SN z phase m_Y m_Y_err mu_snpy mu_snpy_err mu_lcdm
2008gp 0.03280 4.971 17.841 0.040 35.683 0.012 35.792
2008gp 0.03280 11.744 18.015 0.028 35.683 0.012 35.792
2008gp 0.03280 11.754 18.052 0.031 35.683 0.012 35.792
2008gp 0.03280 14.647 17.900 0.032 35.683 0.012 35.792
2008gp 0.03280 14.647 17.978 0.034 35.683 0.012 35.792
2008gp 0.03280 20.444 17.683 0.034 35.683 0.012 35.792
2008gp 0.03280 20.454 17.587 0.027 35.683 0.012 35.792
2008gp 0.03280 31.930 17.104 0.019 35.683 0.012 35.792
2008gp 0.03280 31.940 17.152 0.028 35.683 0.012 35.792
2008gp 0.03280 41.655 17.546 0.021 35.683 0.012 35.792
2008gp 0.03280 41.646 17.606 0.025 35.683 0.012 35.792
2005kc 0.01390 -9.631 16.015 0.022 33.820 0.011 33.897
2005kc 0.01390 -9.622 15.995 0.021 33.820 0.011 33.897
2005kc 0.01390 -6.666 15.642 0.014 33.820 0.011 33.897
2005kc 0.01390 -6.666 15.630 0.017 33.820 0.011 33.897
2005kc 0.01390 -4.696 15.544 0.016 33.820 0.011 33.897
2005kc 0.01390 -4.686 15.488 0.018 33.820 0.011 33.897
2005kc 0.01390 -1.790 15.620 0.018 33.820 0.011 33.897
2005kc 0.01390 -1.780 15.600 0.013 33.820 0.011 33.897
2005kc 0.01390 3.185 16.004 0.027 33.820 0.011 33.897
2005kc 0.01390 3.195 16.006 0.020 33.820 0.011 33.897
2005kc 0.01390 7.086 16.263 0.022 33.820 0.011 33.897
2005kc 0.01390 7.086 16.255 0.024 33.820 0.011 33.897
2005kc 0.01390 12.041 16.297 0.023 33.820 0.011 33.897
2005kc 0.01390 12.041 16.333 0.023 33.820 0.011 33.897
2005kc 0.01390 16.001 16.108 0.019 33.820 0.011 33.897
2005kc 0.01390 16.011 16.144 0.017 33.820 0.011 33.897
2005kc 0.01390 19.932 15.888 0.014 33.820 0.011 33.897
2005kc 0.01390 19.942 15.876 0.015 33.820 0.011 33.897
2008bf 0.02460 -8.121 16.684 0.035 35.132 0.010 35.154
2008bf 0.02460 -8.111 16.771 0.037 35.132 0.010 35.154
2008bf 0.02460 -4.222 16.547 0.013 35.132 0.010 35.154
2008bf 0.02460 -4.222 16.543 0.012 35.132 0.010 35.154
2008bf 0.02460 6.466 17.387 0.027 35.132 0.010 35.154
2008bf 0.02460 6.476 17.327 0.024 35.132 0.010 35.154
2008bf 0.02460 29.896 16.673 0.018 35.132 0.010 35.154
2008bf 0.02460 29.906 16.627 0.017 35.132 0.010 35.154
2008bf 0.02460 40.575 16.891 0.017 35.132 0.010 35.154
2008bf 0.02460 40.575 16.850 0.018 35.132 0.010 35.154
2008bf 0.02460 -1.301 16.696 0.026 35.132 0.010 35.154
2008bf 0.02460 -1.291 16.663 0.026 35.132 0.010 35.154
2008bf 0.02460 -0.344 16.777 0.020 35.132 0.010 35.154
2008bf 0.02460 -0.334 16.775 0.021 35.132 0.010 35.154
2005al 0.01330 2.840 16.236 0.023 34.003 0.013 33.800
2005al 0.01330 2.850 16.168 0.021 34.003 0.013 33.800
2005al 0.01330 24.561 15.603 0.020 34.003 0.013 33.800
2005al 0.01330 24.571 15.609 0.020 34.003 0.013 33.800
2005al 0.01330 25.549 15.589 0.020 34.003 0.013 33.800
2005al 0.01330 25.549 15.588 0.020 34.003 0.013 33.800
2005al 0.01330 31.386 15.908 0.020 34.003 0.013 33.800
2005al 0.01330 31.396 15.915 0.021 34.003 0.013 33.800
2005hc 0.04500 -5.462 17.980 0.054 36.575 0.014 36.498
2005hc 0.04500 -5.453 17.914 0.050 36.575 0.014 36.498
2005hc 0.04500 -2.642 18.130 0.043 36.575 0.014 36.498
2005hc 0.04500 -2.642 18.023 0.038 36.575 0.014 36.498
2005hc 0.04500 1.164 18.237 0.044 36.575 0.014 36.498
2005hc 0.04500 1.173 18.270 0.049 36.575 0.014 36.498
2005hc 0.04500 3.114 18.464 0.079 36.575 0.014 36.498
2005hc 0.04500 3.124 18.383 0.062 36.575 0.014 36.498
2005hc 0.04500 5.074 18.637 0.077 36.575 0.014 36.498
2005hc 0.04500 5.065 18.575 0.070 36.575 0.014 36.498
2005hc 0.04500 7.015 18.697 0.067 36.575 0.014 36.498
2005hc 0.04500 7.025 18.877 0.101 36.575 0.014 36.498
2005hc 0.04500 8.899 18.861 0.074 36.575 0.014 36.498
2005hc 0.04500 8.908 18.749 0.082 36.575 0.014 36.498
2005hc 0.04500 10.706 18.791 0.092 36.575 0.014 36.498
2005hc 0.04500 10.715 18.824 0.109 36.575 0.014 36.498
2005hc 0.04500 17.466 18.744 0.062 36.575 0.014 36.498
2005hc 0.04500 17.475 18.762 0.073 36.575 0.014 36.498
2005hc 0.04500 24.101 18.322 0.062 36.575 0.014 36.498
2005hc 0.04500 24.111 18.239 0.053 36.575 0.014 36.498
2005hc 0.04500 27.983 18.193 0.050 36.575 0.014 36.498
2005hc 0.04500 27.992 18.146 0.052 36.575 0.014 36.498
2005hc 0.04500 35.555 17.865 0.045 36.575 0.014 36.498
2005hc 0.04500 35.555 17.867 0.047 36.575 0.014 36.498
2005hc 0.04500 41.378 18.254 0.084 36.575 0.014 36.498
2005hc 0.04500 41.388 18.067 0.057 36.575 0.014 36.498
2004ey 0.01470 -3.031 15.634 0.008 34.107 0.013 34.020
2004ey 0.01470 -3.021 15.616 0.008 34.107 0.013 34.020
