# snid z logmass logsfr logssfr SDSSu PS1g umg chi2 nbands
2000bh -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
2000bk -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
2000ca -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
2000ce -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
2000cf -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
2000cn -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
2000cx -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
2000dk -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
2000fa -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
2001ah -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
2001ay -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
2001az -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
2001ba -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
2001bf -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
2001bg -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
2001bt -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
2001cn -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
2001cp -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
2001cz -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
2001da -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
2001eh -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
2001el -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
2001en -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
2001ep -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
2001fe -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
2001fh -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
2001gb -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
2001gc -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
2001ic -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
2001ie -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
2002ar -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
2002bf -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
2002bo -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
