  SN    |    MJD|f|  omag|_omag|  Phase
SN2012ht|56295.3|H|13.868|0.018| -0.400
SN2012ht|56297.3|H|13.957|0.020|  1.600
SN2012ht|56318.3|H|13.918|0.011| 22.600
SN2012ht|56319.3|H|13.938|0.011| 23.600
SN2012ht|56320.2|H|13.993|0.013| 24.500
SN2012ht|56327.3|H|14.390|0.013| 31.600
SN2012ht|56347.2|H|15.377|0.030| 51.500
SN2012ht|56350.2|H|15.559|0.028| 54.500
SN2012ht|56354.2|H|15.798|0.024| 58.500
SN2012ht|56385.2|H|17.171|0.022| 89.500
SN2015F |57092.1|B|16.939|0.011|-14.800
SN2015F |57093.1|B|16.253|0.009|-13.800
SN2015F |57094.0|B|15.704|0.013|-12.900
SN2015F |57095.1|B|15.209|0.013|-11.800
SN2015F |57096.0|B|14.829|0.011|-10.900
SN2015F |57097.1|B|14.510|0.010| -9.800
SN2015F |57098.1|B|14.254|0.008| -8.800
SN2015F |57099.0|B|14.076|0.012| -7.900
SN2015F |57100.1|B|13.895|0.011| -6.800
SN2015F |57101.0|B|13.739|0.006| -5.900
SN2015F |57102.1|B|13.637|0.006| -4.800
SN2015F |57104.1|B|13.540|0.012| -2.800
SN2015F |57110.0|B|13.563|0.007|  3.100
SN2015F |57111.0|B|13.614|0.009|  4.100
SN2015F |57112.0|B|13.677|0.007|  5.100
SN2015F |57113.0|B|13.764|0.007|  6.100
SN2015F |57117.0|B|14.161|0.006| 10.100
SN2015F |57118.0|B|14.282|0.009| 11.100
SN2015F |57119.0|B|14.431|0.008| 12.100
SN2015F |57120.0|B|14.562|0.010| 13.100
SN2015F |57121.0|B|14.665|0.007| 14.100
SN2015F |57122.0|B|14.807|0.009| 15.100
SN2015F |57123.0|B|14.919|0.008| 16.100
SN2015F |57125.0|B|15.155|0.006| 18.100
SN2015F |57126.1|B|15.270|0.007| 19.200
SN2015F |57127.0|B|15.367|0.008| 20.100
SN2015F |57129.1|B|15.548|0.010| 22.200
SN2015F |57130.1|B|15.643|0.011| 23.200
SN2015F |57131.1|B|15.711|0.010| 24.200
SN2015F |57134.0|B|15.951|0.008| 27.100
SN2015F |57135.0|B|16.021|0.011| 28.100
SN2015F |57136.0|B|16.078|0.009| 29.100
SN2015F |57137.0|B|16.140|0.009| 30.100
SN2015F |57138.1|B|16.196|0.009| 31.200
SN2015F |57139.0|B|16.247|0.009| 32.100
SN2015F |57141.1|B|16.342|0.011| 34.200
SN2015F |57143.1|B|16.420|0.010| 36.200
